SA2_CODE_2021,SA2_NAME_2021,PHN_NAME_2023
308051533,Clinton - New Auckland,"Central Queensland, Wide Bay, Sunshine Coast"
308051534,Gladstone,"Central Queensland, Wide Bay, Sunshine Coast"
308051535,Gladstone Hinterland,"Central Queensland, Wide Bay, Sunshine Coast"
308051536,Kin Kora - Sun Valley,"Central Queensland, Wide Bay, Sunshine Coast"
308051537,South Trees,"Central Queensland, Wide Bay, Sunshine Coast"
308051538,Telina - Toolooa,"Central Queensland, Wide Bay, Sunshine Coast"
308051539,West Gladstone,"Central Queensland, Wide Bay, Sunshine Coast"
309011224,Broadbeach Waters,Gold Coast
309011225,Burleigh Heads,Gold Coast
309011226,Burleigh Waters,Gold Coast
309011227,Mermaid Beach - Broadbeach,Gold Coast
309011228,Mermaid Waters,Gold Coast
309011229,Miami,Gold Coast
309021230,Coolangatta,Gold Coast
309021231,Currumbin - Tugun,Gold Coast
309021232,Currumbin Waters,Gold Coast
309021233,Elanora,Gold Coast
309021234,Palm Beach,Gold Coast
309031235,Arundel,Gold Coast
309031236,Biggera Waters,Gold Coast
309031237,Coombabah,Gold Coast
309031238,Labrador,Gold Coast
309031239,Paradise Point - Hollywell,Gold Coast
309031240,Runaway Bay,Gold Coast
309041241,Guanaba - Springbrook,Gold Coast
309041242,Tamborine - Canungra,Brisbane South
309041242,Tamborine - Canungra,Gold Coast
309051243,Currumbin Valley - Tallebudgera,Gold Coast
309051244,Mudgeeraba - Bonogin,Gold Coast
309051245,Reedy Creek - Andrews,Gold Coast
309061246,Carrara,Gold Coast
309061247,Highland Park,Gold Coast
309061248,Nerang - Mount Nathan,Gold Coast
309061249,Pacific Pines - Gaven,Gold Coast
309061250,Worongary - Tallai,Gold Coast
309071251,Coomera,Gold Coast
309071252,Helensvale,Gold Coast
309071253,Hope Island,Gold Coast
309071254,Jacobs Well - Alberton,Gold Coast
309071256,Oxenford - Maudsland,Gold Coast
309071552,Ormeau (East) - Stapylton,Gold Coast
309071553,Ormeau (West) - Yatala,Gold Coast
309071554,Pimpama - North,Gold Coast
309071555,Pimpama - South,Gold Coast
309071556,Upper Coomera (South) - Wongawallan,Gold Coast
309071557,Upper Coomera - North,Gold Coast
309071558,Willow Vale - Pimpama (West),Gold Coast
309081259,Clear Island Waters,Gold Coast
309081260,Merrimac,Gold Coast
309081262,Varsity Lakes,Gold Coast
309081559,Robina - East,Gold Coast
309081560,Robina - West,Gold Coast
309091263,Ashmore,Gold Coast
309091264,Molendinar,Gold Coast
309091265,Parkwood,Gold Coast
309091540,Southport - North,Gold Coast
309091541,Southport - South,Gold Coast
309101267,Benowa,Gold Coast
309101268,Bundall,Gold Coast
309101269,Main Beach,Gold Coast
309101561,Surfers Paradise - North,Gold Coast
309101562,Surfers Paradise - South,Gold Coast
310011271,Darra - Sumner,Brisbane South
310011272,Durack,Brisbane South
310011274,Inala - Richlands,Brisbane South
310011275,Oxley (Qld),Brisbane South
310011276,Wacol,Brisbane South
310011563,Doolandella,Brisbane South
310011564,Forest Lake - Ellen Grove,Brisbane South
310021277,Boonah,Brisbane South
310021277,Boonah,Darling Downs and West Moreton
310021278,Esk,Darling Downs and West Moreton
310021279,Lake Manchester - England Creek,Darling Downs and West Moreton
310021280,Lockyer Valley - East,Darling Downs and West Moreton
310021281,Lowood,Darling Downs and West Moreton
310021282,Rosewood,Darling Downs and West Moreton
310031283,Brassall,Darling Downs and West Moreton
310031284,Bundamba,Darling Downs and West Moreton
310031285,Churchill - Yamanto,Darling Downs and West Moreton
310031286,Ipswich - Central,Darling Downs and West Moreton
310031287,Ipswich - East,Darling Downs and West Moreton
310031288,Ipswich - North,Darling Downs and West Moreton
310031289,Karalee - Barellan Point,Darling Downs and West Moreton
310031290,Karana Downs,Darling Downs and West Moreton
310031291,Leichhardt - One Mile,Darling Downs and West Moreton
310031292,North Ipswich - Tivoli,Darling Downs and West Moreton
310031293,Raceview,Darling Downs and West Moreton
310031294,Ripley,Darling Downs and West Moreton
310031295,Riverview,Darling Downs and West Moreton
310041297,Camira - Gailes,Darling Downs and West Moreton
310041298,Carole Park,Darling Downs and West Moreton
310041299,Collingwood Park - Redbank,Darling Downs and West Moreton
